NAME,CLAN_GAMES,CLAN_MEMBERS
WallyZZZ,203,"NotaDJ,Errata,MrSloth,Cronotorious,afro,Vaa0007,CasteelG,SnotRag,theUnderLoaf,espynn,NateTheGreat,Zona,Danjer,kryptea,Solo123024,baz2sga,MTheyer,CrimsnStrife,HotlineBlizz,PAKMAN,Dmaxspeedz,TheCowboy,KJC,Kuja666,a1z0rz,matrixblue,Jarv10k,zachIsBad,BigginsCP1,Deepthought,JustTurrble,Oyerth,cverre116,Einherjar,Nirnaeth,DiffEngine,legendary10,Bearded,Trogdor"
Vaa0007,199,"KJC,Berix,NotaDJ,a1z0rz,Nirnaeth,Kuja666,CrimsnStrife,EkunSaruoy,MTheyer,ferenz,afro,Solo123024,MrSloth,Jarv10k,theUnderLoaf,WallyZZZ,FTFMike,Pluto,Dmaxspeedz,Evilaizen,AlphaX,JustTurrble,espynn,TheCowboy,SnotRag,NateTheGreat,Zona,matrixblue,droid008,AIBox,BigginsCP1,Bearded,Flyingmac,FatBassKiten,DeltaProject,Darkstar,Vertiical,Danjer,legendary10,baz2sga,Archernoles"
matrixblue,197,"EkunSaruoy,Nirnaeth,Bearded,a1z0rz,WallyZZZ,Vaa0007,zachIsBad,CrimsnStrife,Jukebox,Errata,Archernoles,SnotRag,Deepthought,Solo123024,HiTech,Flyingmac,KJC,legendary10,JustTurrble,PAKMAN,Berix,PatchMavTV,afro,espynn,KingCraigers,DiffEngine,MTheyer,CasteelG"
Jukebox,178,"afro,Bearded,Nirnaeth,matrixblue,Errata,a1z0rz,CrimsnStrife,MTheyer,Violinplaya,Hebel,KJC,NotaDJ,PatchMavTV,Jarv10k,Solo123024,theUnderLoaf,zachIsBad,Archernoles,Dmaxspeedz,Gjallarhorn,MrSloth,TheCowboy,Kuja666"
PAKMAN,175,"Jaydu,MTheyer,Deepthought,afro,TheCowboy,Live55,SnotRag,Kuja666,PatchMavTV,Jarv10k,Dmaxspeedz,HotlineBlizz,WallyZZZ,NotaDJ,Gjallarhorn,CrimsnStrife,Nirnaeth,Bearded,Berix,zachIsBad,Evilaizen,matrixblue,Errata,MrSloth,KJC"
CrimsnStrife,161,"Flyingmac,NotaDJ,Violinplaya,Jaydu,ferenz,Bearded,WallyZZZ,afro,Solo123024,matrixblue,BigginsCP1,Darkstar,PAKMAN,Kuja666,Nirnaeth,PatchMavTV,Berix,a1z0rz,Vaa0007,Errata,KJC,Jukebox,MTheyer"
droid008,161,"AIBox,espynn,JustTurrble,TheCowboy,Vaa0007,HiTech,KJC"
JustTurrble,142,"Zona,MTheyer,NateTheGreat,TheCowboy,Vaa0007,droid008,espynn,AIBox,Solo123024,KJC,afro,legendary10,theUnderLoaf,HiTech,baz2sga,DiffEngine,SnotRag,Kuja666,felipeck,NotaDJ,Nirnaeth,Violinplaya,Deepthought,XT1NCT10N,Bearded,skootz,Asakura,zachIsBad,HotlineBlizz,Errata,matrixblue,WallyZZZ,Oyerth,ferenz,BigginsCP1,EkunSaruoy,Waffles,Jarv10k,Hedbutter"
PatchMavTV,136,"Jukebox,matrixblue,Bearded,afro,Errata,FTFMike,a1z0rz,Nirnaeth,Solo123024,Kuja666,PAKMAN,DiffEngine,Flyingmac,ferenz,Danjer,EkunSaruoy,NotaDJ,Berix,CrimsnStrife,zachIsBad,Evilaizen,KJC,espynn,Violinplaya,MTheyer,HiTech,NateTheGreat,Zona"
MTheyer,131,"Solo123024,CasteelG,NateTheGreat,Zona,Vaa0007,EkunSaruoy,Jaydu,PAKMAN,JustTurrble,KJC,afro,legendary10,theUnderLoaf,Jukebox,CrimsnStrife,DeadlyCrane,WallyZZZ,FTFMike,DiffEngine,baz2sga,matrixblue,BigginsCP1,Berix,Jarv10k,HiTech,espynn,AIBox,a1z0rz,kryptea,TheCowboy,Wonderdog,Violinplaya,PatchMavTV,HotlineBlizz,NotaDJ"
Dmaxspeedz,126,"HiTech,Evilaizen,afro,NotaDJ,a1z0rz,Jarv10k,Errata,SnotRag,PAKMAN,WallyZZZ,TheCowboy,Jukebox,Kuja666,Gjallarhorn,Harblz,Waffles,Vaa0007"
Evilaizen,126,"Dmaxspeedz,PatchMavTV,Berix,zachIsBad,PAKMAN,Bearded,NotaDJ,Jarv10k,a1z0rz,theUnderLoaf,Flyingmac,SnotRag,Errata,legendary10,TheCowboy,HiTech,Kuja666,Vaa0007,Waffles"
Violinplaya,124,"Jarv10k,Hebel,legendary10,Jukebox,Kuja666,PatchMavTV,MTheyer,JustTurrble,CrimsnStrife,Jaydu,DeadlyCrane,Nirnaeth,a1z0rz,Waffles,HotlineBlizz"
DiffEngine,119,"ferenz,Jarv10k,Solo123024,KJC,Live55,JustTurrble,afro,NotaDJ,Einherjar,espynn,Nirnaeth,WallyZZZ,Deepthought,MrSloth,Errata,Bearded,PatchMavTV,Flyingmac,HiTech,cverre116,Kuja666,Jaydu,SnotRag,FTFMike,TheCowboy,baz2sga,MTheyer,matrixblue"
zachIsBad,117,"skootz,Asakura,Kuja666,HotlineBlizz,PatchMavTV,Berix,Evilaizen,PAKMAN,Bearded,matrixblue,TheCowboy,WallyZZZ,Darkstar,Jukebox,Errata,Archernoles,JustTurrble,theUnderLoaf,Nirnaeth"
FatBassKiten,116,"DeltaProject,TheCowboy,KingCraigers,Vaa0007,MrSloth,Jarv10k"
DeltaProject,112,"FatBassKiten,TheCowboy,Jarv10k,Vaa0007,Cyril"
legendary10,112,"Violinplaya,DeadlyCrane,Nirnaeth,a1z0rz,Hebel,JustTurrble,ferenz,HotlineBlizz,Solo123024,TheCowboy,EkunSaruoy,Jarv10k,Einherjar,KJC,AIBox,Evilaizen,afro,theUnderLoaf,MTheyer,WallyZZZ,Kuja666,matrixblue,Cronotorious,NateTheGreat,Zona,actnuevo,Vaa0007,NotaDJ"
Hebel,106,"Jarv10k,Violinplaya,legendary10,DeadlyCrane,Nirnaeth,a1z0rz,Jukebox,Kuja666,Waffles,HotlineBlizz"
ferenz,100,"JustTurrble,DiffEngine,Jarv10k,a1z0rz,NotaDJ,BigginsCP1,Berix,PatchMavTV,Flyingmac,Darkstar,Vaa0007,KJC,Live55,afro,legendary10,FTFMike,Solo123024,SnotRag,TheCowboy,CrimsnStrife,cverre116,Nirnaeth,Bearded,MrSloth"
AIBox,89,"droid008,JustTurrble,TheCowboy,Vaa0007,espynn,legendary10,Solo123024,KJC,Nirnaeth,Berix,Jarv10k,HiTech,MTheyer"
BigginsCP1,89,"Berix,KingCraigers,Nirnaeth,KJC,Kuja666,NotaDJ,a1z0rz,ferenz,afro,JustTurrble,Cronotorious,MTheyer,CrimsnStrife,WallyZZZ,reap,Vaa0007"
Waffles,89,"felipeck,Nirnaeth,Kuja666,Jarv10k,KJC,NotaDJ,JustTurrble,baz2sga,Hedbutter,Violinplaya,Hebel,Danjer,Evilaizen,Dmaxspeedz,Wonderdog,CasteelG,Errata,Bearded,TheCowboy,espynn"
theUnderLoaf,82,"Evilaizen,a1z0rz,MTheyer,JustTurrble,Solo123024,KJC,afro,legendary10,Jarv10k,Vaa0007,WallyZZZ,espynn,Errata,Kuja666,skootz,Asakura,zachIsBad,HotlineBlizz,Danjer,kryptea,MrSloth,Deepthought,NotaDJ,Jukebox,Berix,Flyingmac"
felipeck,80,"Gjallarhorn,Waffles,baz2sga,Jarv10k,JustTurrble,Hedbutter,Kuja666,afro,NotaDJ,Nirnaeth,SnotRag,Einherjar"
